stateut,x,y
Ladakh,-108,274
Jammu Kashmir,-152,248
Himachal Pradesh,-111,212
Uttarakhand,-77,179
Sikkim,107,124
Arunachal Pradesh,191,137
Nagaland,218,104
Manipur,203,74
Mizoram,190,45
Tripura,170,52
Meghalaya,146,87
Assam,152,105
West Bengal,79,37
Bihar,40,96
Jharkhand,32,49
Odisha,14,-23
Uttar Pradesh,-82,123
Madhya Pradesh,-134,28
Chattisgarh,-31,-15
Andhra Pradesh,-94,-133
Tamil Nadu,-95,-218
Kerala,-117,-226
Karnataka,-147,-147
Telengana,-83,-77
Maharashtra,-170,-47
Gujrat,-241,35
Rajasthan,-209,108
Haryana,-124,156
Delhi,-99,141
Punjab,-143,186
Goa,-160,-129
Andaman & Nicobar Island,213,-174
Chandigarh,-140,190
Daman Diu & Nagar Haveli,-211,-10
Lakshwadweep,-199,-220
Puducherry,-48,-221
